,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,São Félix do Xingu,-6.64,-51.99,307.68,30,6,2.2,BR,1594919660
334,Kaitangata,-46.28,169.85,277.59,71,41,0.89,NZ,1594919660
335,Mount Isa,-20.73,139.5,284.15,34,0,3.1,AU,1594919660
336,Nūrpur,29.15,78.42,306.32,49,20,4.08,IN,1594919660
337,Itarema,-2.92,-39.92,303.9,51,0,6.46,BR,1594919660
338,Grindavik,63.84,-22.43,286.15,76,75,6.7,IS,1594919660
339,Kasongo-Lunda,-6.47,16.82,301.94,21,0,0.79,CD,1594919660
340,Starovelichkovskaya,45.43,38.73,300.93,57,70,4.86,RU,1594919661
341,Nabire,-3.37,135.48,297.31,90,22,1.72,ID,1594919553
342,Holme,56.11,10.17,292.15,68,62,1.0,DK,1594919661
343,Black River,18.03,-77.85,305.93,70,20,8.2,JM,1594919661
344,Meulaboh,4.14,96.13,298.54,89,86,2.02,ID,1594919661
345,Kununurra,-15.77,128.73,287.15,31,0,3.7,AU,1594919661
346,Boa Vista,2.82,-60.67,304.15,58,75,2.6,BR,1594919661
347,Cervo,43.67,-7.41,294.26,68,90,4.02,ES,1594919661
348,Abu Samrah,35.3,37.18,302.02,33,0,6.16,SY,1594919586
349,Ostashkov,57.15,33.11,285.61,96,100,2.77,RU,1594919662
350,Kristinestad,62.27,21.38,290.54,67,3,2.94,FI,1594919662
351,Magaria,13.0,8.91,306.76,38,73,2.01,NE,1594919662
352,Cap Malheureux,-19.98,57.61,293.71,75,14,0.89,MU,1594919662
353,Tulun,54.56,100.58,283.16,72,99,2.14,RU,1594919662
354,Flinders,-34.58,150.86,285.37,78,61,5.36,AU,1594919560
355,Mbumi,-7.91,39.21,295.13,71,39,1.75,TZ,1594919662
356,Mount Gambier,-37.83,140.77,275.15,93,5,2.1,AU,1594919662
357,Chissamba,-12.17,17.33,291.29,28,0,2.36,AO,1594919662
358,Causapscal,48.35,-67.23,296.47,24,17,3.02,CA,1594919663
359,Bhatkal,13.97,74.57,299.56,85,100,5.25,IN,1594919663
360,Ust-Maya,60.42,134.53,288.4,76,57,0.36,RU,1594919596
361,Laguna,38.42,-121.42,295.93,56,5,2.6,US,1594919499
362,Fujin,47.26,132.03,294.44,88,16,2.78,CN,1594919663
363,Marsá Maţrūḩ,31.35,27.25,300.15,65,0,4.6,EG,1594919663
364,Teluknaga,-6.1,106.64,300.93,83,40,3.1,ID,1594919663
365,Kuching,1.55,110.33,299.15,94,20,0.81,MY,1594919664
366,Comodoro Rivadavia,-45.87,-67.5,277.15,86,90,1.48,AR,1594919664
367,Bereda,43.27,-7.54,295.37,66,85,8.49,ES,1594919664
368,Bac Lieu,9.29,105.72,300.18,81,56,1.73,VN,1594919596
369,Waiuku,-37.25,174.75,284.15,87,93,4.6,NZ,1594919664
370,Lopez,13.88,122.26,298.88,89,74,1.02,PH,1594919664
